U+3400: qiū  # 㐀
U+3401: tiǎn,tiàn  # 㐁
U+3402: xǐ  # 㐂
# U+3403: ""  # 㐃
U+3404: kuà  # 㐄
U+3405: wǔ  # 㐅
U+3406: yǐn,yī  # 㐆
U+3407: jiǔ  # 㐇
U+3408: rù  # 㐈
U+3409: dīng  # 㐉
U+340A: shì  # 㐊
U+340B: tǔ  # 㐋
U+340C: sì,yí  # 㐌
U+340D: zhǎo  # 㐍
U+340E: wén  # 㐎
U+340F: wǔ  # 㐏
U+3410: nú  # 㐐
U+3411: dōng  # 㐑
U+3412: zhào  # 㐒
U+3413: kě  # 㐓
U+3414: xiǎng  # 㐔
# U+3415: ""  # 㐕
U+3416: yè  # 㐖
U+3417: lǎo  # 㐗
U+3418: mǐ  # 㐘
U+3419: dòu  # 㐙
U+341A: wú  # 㐚
U+341B: yòu  # 㐛
U+341C: chóu  # 㐜
U+341D: jū  # 㐝
U+341E: qí  # 㐞
U+341F: fēi  # 㐟
# U+3420: ""  # 㐠
U+3421: nuò  # 㐡
U+3422: fú  # 㐢
U+3423: kù  # 㐣
U+3424: qiú  # 㐤
U+3425: chú  # 㐥
U+3426: jǔ  # 㐦
# U+3427: ""  # 㐧
U+3428: xù  # 㐨
U+3429: xíng  # 㐩
# U+342A: ""  # 㐪
U+342B: xiōng  # 㐫
U+342C: liú  # 㐬
U+342D: lǐn  # 㐭
# U+342E: ""  # 㐮
# U+342F: ""  # 㐯
U+3430: xìn  # 㐰
U+3431: zhěn  # 㐱
U+3432: dài,fú  # 㐲
U+3433: wù  # 㐳
# U+3434: ""  # 㐴
U+3435: rú  # 㐵
# U+3436: ""  # 㐶
U+3437: mǎ,mà,mián  # 㐷
U+3438: qiàn  # 㐸
U+3439: yì  # 㐹
U+343A: zhòng,yín  # 㐺
U+343B: nèi  # 㐻
U+343C: chèng,zhěng  # 㐼
# U+343D: ""  # 㐽
U+343E: ruǎn,yuàn  # 㐾
# U+343F: ""  # 㐿
U+3440: tài  # 㑀
# U+3441: ""  # 㑁
U+3442: fǎng,páng  # 㑂
U+3443: ǎo  # 㑃
U+3444: wǔ  # 㑄
U+3445: zuò  # 㑅
# U+3446: ""  # 㑆
U+3447: zhòu  # 㑇
U+3448: dòng  # 㑈
U+3449: sù  # 㑉
U+344A: yì  # 㑊
U+344B: jiòng,kǒng,qióng  # 㑋
U+344C: wāng,kuāng  # 㑌
U+344D: lěi,lèi  # 㑍
U+344E: nǎo  # 㑎
U+344F: zhù  # 㑏
# U+3450: ""  # 㑐
U+3451: lǎn,jì  # 㑑
# U+3452: ""  # 㑒
# U+3453: ""  # 㑓
U+3454: xǔ  # 㑔
# U+3455: ""  # 㑕
# U+3456: ""  # 㑖
U+3457: shēn  # 㑗
U+3458: jiè  # 㑘
U+3459: dié,yǒng  # 㑙
U+345A: nuó  # 㑚
U+345B: sù  # 㑛
U+345C: yì,chì  # 㑜
U+345D: lòng  # 㑝
U+345E: yìng  # 㑞
U+345F: běng,bó,pěng  # 㑟
# U+3460: ""  # 㑠
# U+3461: ""  # 㑡
# U+3462: ""  # 㑢
U+3463: lán  # 㑣
U+3464: miáo  # 㑤
U+3465: yì  # 㑥
U+3466: lì  # 㑦
U+3467: jì  # 㑧
U+3468: yǔ  # 㑨
U+3469: luó  # 㑩
U+346A: chái  # 㑪
# U+346B: ""  # 㑫
# U+346C: ""  # 㑬
# U+346D: ""  # 㑭
U+346E: hún,wén  # 㑮
U+346F: xǔ  # 㑯
U+3470: huì  # 㑰
U+3471: rǎo  # 㑱
# U+3472: ""  # 㑲
U+3473: zhòu  # 㑳
# U+3474: ""  # 㑴
U+3475: hàn,jí,jié,zhǎ,zí  # 㑵
U+3476: xì  # 㑶
U+3477: tài  # 㑷
U+3478: ǎi,yáo,yóu  # 㑸
U+3479: huì  # 㑹
U+347A: jùn  # 㑺
U+347B: mà  # 㑻
# U+347C: ""  # 㑼
U+347D: táng  # 㑽
U+347E: xiáo,yáo  # 㑾
U+347F: zhào  # 㑿
U+3480: zhǎ  # 㒀
U+3481: yǔ,yùn  # 㒁
U+3482: kù,zhuó  # 㒂
U+3483: èr  # 㒃
U+3484: nàng,nèn,rǎn  # 㒄
U+3485: qǐ  # 㒅
U+3486: chì,kè,xì,xiào,yàn  # 㒆
U+3487: mù,wǔ  # 㒇
U+3488: hàn  # 㒈
U+3489: tǎng  # 㒉
U+348A: sè  # 㒊
# U+348B: ""  # 㒋
U+348C: qióng  # 㒌
U+348D: léi,lěi  # 㒍
U+348E: sǎ,sà,tàn  # 㒎
# U+348F: ""  # 㒏
U+3490: xùn  # 㒐
U+3491: huì,kuǐ  # 㒑
U+3492: pú  # 㒒
U+3493: tà  # 㒓
U+3494: shǔ  # 㒔
# U+3495: ""  # 㒕
U+3496: ǒu  # 㒖
U+3497: tái  # 㒗
# U+3498: ""  # 㒘
U+3499: mián  # 㒙
U+349A: wěn  # 㒚
U+349B: diào  # 㒛
U+349C: yú,yǔ  # 㒜
U+349D: miè,wà  # 㒝
U+349E: jùn,kě  # 㒞
U+349F: niǎo  # 㒟
U+34A0: xiè  # 㒠
U+34A1: yóu  # 㒡
# U+34A2: ""  # 㒢
# U+34A3: ""  # 㒣
U+34A4: shè,chè  # 㒤
U+34A5: fēng  # 㒥
U+34A6: lěi  # 㒦
U+34A7: lì  # 㒧
# U+34A8: ""  # 㒨
U+34A9: luǒ  # 㒩
# U+34AA: ""  # 㒪
U+34AB: jì  # 㒫
# U+34AC: ""  # 㒬
# U+34AD: ""  # 㒭
# U+34AE: ""  # 㒮
# U+34AF: ""  # 㒯
U+34B0: quán  # 㒰
U+34B1: mèng  # 㒱
U+34B2: cái  # 㒲
U+34B3: liǎng  # 㒳
U+34B4: gǔ  # 㒴
U+34B5: mào  # 㒵
# U+34B6: ""  # 㒶
U+34B7: guǎ,xìng,xǔ  # 㒷
U+34B8: suì,xuán  # 㒸
U+34B9: diān  # 㒹
# U+34BA: ""  # 㒺
U+34BB: mào  # 㒻
U+34BC: mán  # 㒼
# U+34BD: ""  # 㒽
U+34BE: shì  # 㒾
U+34BF: lí  # 㒿
# U+34C0: ""  # 㓀
U+34C1: wǎng  # 㓁
U+34C2: kòu  # 㓂
U+34C3: chuí,dù,zhà  # 㓃
U+34C4: zhèn  # 㓄
# U+34C5: ""  # 㓅
# U+34C6: ""  # 㓆
# U+34C7: ""  # 㓇
U+34C8: bèi,bìng,fèi,yè  # 㓈
U+34C9: huàn,huó,huò  # 㓉
U+34CA: dòng  # 㓊
U+34CB: gòng  # 㓋
# U+34CC: ""  # 㓌
# U+34CD: ""  # 㓍
U+34CE: qīn,qǐn,qìn  # 㓎
